FOT_RT,,FOT_35C,,FOT_45C,,FOT_55C,,Convert to Abs("FOT_RT"):FOT_RT,,Convert to Abs("FOT_35C"):FOT_35C,,Convert to Abs("FOT_45C"):FOT_45C,,Convert to Abs("FOT_55C"):FOT_55C,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
2500,0.3731087446,2500,0.4328704774,2500,0.4826542139,2500,0.4924550653,2500,2.428164482,2500,2.363641977,2500,2.316363811,2500,2.3076334,
2499.333008,0.3798621297,2499.333008,0.4276555181,2499.333008,0.4825688303,2499.333008,0.5024451017,2499.333008,2.420373917,2499.333008,2.368906021,2499.333008,2.316440821,2499.333008,2.298911333,
2498.666016,0.3801500201,2498.666016,0.4417084157,2498.666016,0.4847524762,2498.666016,0.4880270362,2498.666016,2.420044899,2498.666016,2.354864359,2498.666016,2.314480066,2498.666016,2.311556101,
2497.999023,0.3790768981,2497.999023,0.433888793,2497.999023,0.4755651057,2497.999023,0.5036225319,2497.999023,2.421272755,2497.999023,2.362621546,2497.999023,2.322789907,2497.999023,2.297894716,
2497.332031,0.3722257912,2497.332031,0.4380323887,2497.332031,0.4811904728,2497.332031,0.4953993857,2497.332031,2.429193497,2497.332031,2.358493805,2497.332031,2.317682981,2497.332031,2.305044413,
2496.665039,0.3792428672,2496.665039,0.4408149123,2496.665039,0.4828279912,2496.665039,0.4908750653,2496.665039,2.421082497,2496.665039,2.355743647,2496.665039,2.316207647,2496.665039,2.309029102,
2495.998047,0.3811924458,2495.998047,0.4315396249,2495.998047,0.4911521375,2495.998047,0.5040799975,2495.998047,2.418855667,2495.998047,2.364979267,2495.998047,2.308784008,2495.998047,2.29750061,
2495.331055,0.3880771697,2495.331055,0.4319518209,2495.331055,0.4782420695,2495.331055,0.5085048079,2495.331055,2.411081791,2495.331055,2.364564657,2495.331055,2.320352316,2495.331055,2.293704987,
2494.664063,0.3763389885,2494.664063,0.4329327047,2494.664063,0.4771158695,2494.664063,0.4989563823,2494.664063,2.424420834,2494.664063,2.363579512,2494.664063,2.321376085,2494.664063,2.301937342,
2493.99707,0.3835720718,2493.99707,0.4282322228,2493.99707,0.4747616947,2493.99707,0.5042577386,2493.99707,2.416152954,2493.99707,2.368320704,2493.99707,2.323524237,2493.99707,2.297347546,
2493.330078,0.3825114667,2493.330078,0.4362481236,2493.330078,0.4990304708,2493.330078,0.494110316,2493.330078,2.417355537,2493.330078,2.360266447,2493.330078,2.301872969,2493.330078,2.306176186,
2492.663086,0.3836416602,2492.663086,0.4411562383,2492.663086,0.4896021485,2492.663086,0.4948634207,2492.663086,2.416074276,2492.663086,2.355407476,2492.663086,2.310156584,2492.663086,2.305514574,
2491.996094,0.3780749738,2491.996094,0.4309837818,2491.996094,0.4783369601,2491.996094,0.498028338,2491.996094,2.422422171,2491.996094,2.365539074,2491.996094,2.320266008,2491.996094,2.302746058,
2491.329102,0.3796587884,2491.329102,0.4362828434,2491.329102,0.4752951562,2491.329102,0.4914387465,2491.329102,2.420606613,2491.329102,2.360231876,2491.329102,2.323036671,2491.329102,2.308530569,
2490.662109,0.3782094419,2490.662109,0.4310523272,2490.662109,0.48211658,2490.662109,0.4942471087,2490.662109,2.422267675,2490.662109,2.365469933,2490.662109,2.31684804,2490.662109,2.306055784,
2489.995117,0.3804643154,2489.995117,0.4410264492,2489.995117,0.4720018208,2489.995117,0.4924100041,2489.995117,2.419686079,2489.995117,2.355535269,2489.995117,2.326056242,2489.995117,2.307673216,
2489.327881,0.3756767511,2489.327881,0.4328403175,2489.327881,0.4787335694,2489.327881,0.4996712804,2489.327881,2.42518568,2489.327881,2.363672256,2489.327881,2.319906235,2489.327881,2.301315546,
2488.660889,0.3718025386,2488.660889,0.4304039776,2488.660889,0.4914877117,2488.660889,0.4954624772,2488.660889,2.429687738,2488.660889,2.366123676,2488.660889,2.308487415,2488.660889,2.3049891,
2487.993896,0.3701577783,2487.993896,0.4379144013,2487.993896,0.4824736118,2487.993896,0.4968740046,2487.993896,2.431613207,2487.993896,2.358610868,2487.993896,2.316526413,2487.993896,2.303753614,
2487.326904,0.3769444227,2487.326904,0.4404233396,2487.326904,0.4829321504,2487.326904,0.5037341714,2487.326904,2.423722744,2487.326904,2.356129646,2487.326904,2.316113949,2487.326904,2.297798634,
2486.659912,0.3812161386,2486.659912,0.4238610566,2486.659912,0.4818322062,2486.659912,0.5002891421,2486.659912,2.418828726,2486.659912,2.372776508,2486.659912,2.317104101,2486.659912,2.300778866,
2485.99292,0.3845322132,2485.99292,0.4344739914,2485.99292,0.4821374416,2485.99292,0.5028350353,2485.99292,2.415067196,2485.99292,2.362036228,2485.99292,2.316829205,2485.99292,2.298574448,
2485.325928,0.3824754655,2485.325928,0.4384768605,2485.325928,0.4805450439,2485.325928,0.4992449582,2485.325928,2.417396307,2485.325928,2.358053207,2485.325928,2.318265915,2485.325928,2.301686287,
2484.658936,0.3846591413,2484.658936,0.4316017628,2484.658936,0.4933672547,2484.658936,0.5047255158,2484.658936,2.414923906,2484.658936,2.364916801,2484.658936,2.306829691,2484.658936,2.296944618,
2483.991943,0.3808745742,2483.991943,0.4320810437,2483.991943,0.4790006578,2483.991943,0.4990564585,2483.991943,2.419218063,2483.991943,2.364434719,2483.991943,2.319663763,2483.991943,2.301850319,
2483.324951,0.3793781996,2483.324951,0.4367987216,2483.324951,0.4843768775,2483.324951,0.4922118485,2483.324951,2.420927525,2483.324951,2.359718561,2483.324951,2.314816713,2483.324951,2.307847977,
2482.657959,0.3838120401,2482.657959,0.4329960942,2482.657959,0.4846534133,2482.657959,0.4933943152,2482.657959,2.415881395,2482.657959,2.363516092,2482.657959,2.314568758,2482.657959,2.306805849,
2481.990967,0.3852097392,2481.990967,0.4381913543,2481.990967,0.4887132943,2481.990967,0.4928639531,2481.990967,2.414302826,2481.990967,2.35833621,2481.990967,2.310945749,2481.990967,2.307272911,
2481.323975,0.3872046769,2481.323975,0.4403888285,2481.323975,0.4811719656,2481.323975,0.502807796,2481.323975,2.412059307,2481.323975,2.35616374,2481.323975,2.317699671,2481.323975,2.298598051,
2480.656982,0.3774833679,2480.656982,0.4408588111,2480.656982,0.4816203713,2480.656982,0.5025554299,2480.656982,2.42310214,2480.656982,2.355700493,2480.656982,2.317295074,2480.656982,2.298815966,
2479.98999,0.3739429414,2479.98999,0.4421952963,2479.98999,0.4917925596,2479.98999,0.4988076985,2479.98999,2.427194595,2479.98999,2.354385853,2479.98999,2.308218002,2479.98999,2.302066803,
2479.322998,0.3805441856,2479.322998,0.4372479916,2479.322998,0.4846761823,2479.322998,0.506096065,2479.322998,2.419595003,2479.322998,2.359272242,2479.322998,2.314548254,2479.322998,2.295767069,
2478.656006,0.3840498328,2478.656006,0.4343757927,2478.656006,0.4863252342,2478.656006,0.4958313406,2478.656006,2.415612459,2478.656006,2.362134457,2478.656006,2.313073158,2478.656006,2.304666042,
2477.989014,0.3794064522,2477.989014,0.4345975816,2477.989014,0.4811523557,2477.989014,0.5024045706,2477.989014,2.420895338,2477.989014,2.361912727,2477.989014,2.317717314,2477.989014,2.298946381,
2477.322021,0.3836992085,2477.322021,0.4309910238,2477.322021,0.4810281992,2477.322021,0.4953696728,2477.322021,2.416009188,2477.322021,2.365531683,2477.322021,2.31782937,2477.322021,2.305070639,
2476.655029,0.3702771664,2476.655029,0.4422169328,2476.655029,0.487760216,2476.655029,0.4994982481,2476.655029,2.431473017,2476.655029,2.354364634,2476.655029,2.311793566,2476.655029,2.301465988,
2475.988037,0.3789403737,2475.988037,0.4357615411,2475.988037,0.4902485311,2475.988037,0.4933553338,2475.988037,2.421429157,2475.988037,2.360751152,2475.988037,2.309583664,2475.988037,2.306840181,
2475.321045,0.3791823685,2475.321045,0.4316573143,2475.321045,0.476808995,2475.321045,0.495691359,2475.321045,2.421151876,2475.321045,2.364861012,2475.321045,2.321655512,2475.321045,2.304788589,
2474.654053,0.3795124292,2474.654053,0.4313943386,2474.654053,0.4801481962,2474.654053,0.4899940789,2474.654053,2.420773983,2474.654053,2.365125656,2474.654053,2.318624735,2474.654053,2.309809208,
2473.987061,0.3882606328,2473.987061,0.4290964603,2473.987061,0.4876713753,2473.987061,0.4968760908,2473.987061,2.410876751,2473.987061,2.367444992,2473.987061,2.311872721,2473.987061,2.303751945,
2473.320068,0.3834060729,2473.320068,0.4466868341,2473.320068,0.4808097184,2473.320068,0.4947152138,2473.320068,2.416341066,2473.320068,2.349996805,2473.320068,2.318026781,2473.320068,2.305644751,
2472.653076,0.3777073622,2472.653076,0.4372595847,2472.653076,0.4753738642,2472.653076,0.4919645488,2472.653076,2.422844648,2472.653076,2.359260559,2472.653076,2.322964668,2472.653076,2.30806613,
2471.986084,0.3847484291,2471.986084,0.4379389882,2471.986084,0.4858444929,2471.986084,0.4977832139,2471.986084,2.414823055,2471.986084,2.358586311,2471.986084,2.313502789,2471.986084,2.302959681,
2471.319092,0.3844869733,2471.319092,0.4418879747,2471.319092,0.4895259738,2471.319092,0.5016494393,2471.319092,2.415118456,2471.319092,2.354687929,2471.319092,2.310224295,2471.319092,2.299599648,
2470.6521,0.3830123544,2470.6521,0.4305610061,2470.6521,0.4917751551,2470.6521,0.5029081106,2470.6521,2.416787148,2470.6521,2.365965366,2470.6521,2.3082335,2470.6521,2.298511267,
2469.985107,0.3779011965,2469.985107,0.4413568079,2469.985107,0.4882989526,2469.985107,0.5006332994,2469.985107,2.422621727,2469.985107,2.355210066,2469.985107,2.311314106,2469.985107,2.300480366,
2469.318115,0.3793939948,2469.318115,0.4362705052,2469.318115,0.4945431948,2469.318115,0.4983645976,2469.318115,2.420909643,2469.318115,2.360244036,2469.318115,2.30579567,2469.318115,2.302452803,
2468.650879,0.3754812181,2468.650879,0.4444678724,2468.650879,0.4988696873,2468.650879,0.5033545494,2468.650879,2.425411701,2468.650879,2.352159739,2468.650879,2.30201292,2468.650879,2.298125982,
2467.983887,0.3856993318,2467.983887,0.4438356161,2467.983887,0.4832847416,2467.983887,0.5031229258,2467.983887,2.413751125,2467.983887,2.352777958,2467.983887,2.315796852,2467.983887,2.298325777,
2467.316895,0.3805196881,2467.316895,0.4418497086,2467.316895,0.4868634939,2467.316895,0.5074372292,2467.316895,2.419622898,2467.316895,2.354725361,2467.316895,2.312592745,2467.316895,2.294617653,
2466.649902,0.3804274201,2466.649902,0.427323252,2466.649902,0.4817664623,2466.649902,0.5016696453,2466.649902,2.419728279,2466.649902,2.369243383,2466.649902,2.317163467,2466.649902,2.299582243,
2465.98291,0.3822523057,2465.98291,0.4385151565,2465.98291,0.4825439453,2465.98291,0.4958979189,2465.98291,2.417649984,2465.98291,2.358015299,2465.98291,2.316463232,2465.98291,2.30460763,
2465.315918,0.3831809163,2465.315918,0.4349019825,2465.315918,0.4918052852,2465.315918,0.4941373467,2465.315918,2.416596174,2465.315918,2.361608505,2465.315918,2.308206797,2465.315918,2.306152344,
2464.648926,0.3819140196,2464.648926,0.4386225343,2464.648926,0.4900824428,2464.648926,0.4953930676,2464.648926,2.418034315,2464.648926,2.357908964,2464.648926,2.309730768,2464.648926,2.305050135,
2463.981934,0.3873024881,2463.981934,0.4461554289,2463.981934,0.4841171205,2463.981934,0.5016898513,2463.981934,2.411949635,2463.981934,2.350513697,2463.981934,2.315049648,2463.981934,2.2995646,
2463.314941,0.3798488677,2463.314941,0.4418798387,2463.314941,0.4845344126,2463.314941,0.5006374121,2463.314941,2.420389175,2463.314941,2.354695797,2463.314941,2.314675331,2463.314941,2.300476789,
2462.647949,0.381315589,2462.647949,0.4436894357,2462.647949,0.4871966839,2462.647949,0.4950285852,2462.647949,2.418715477,2462.647949,2.352921009,2462.647949,2.312295675,2462.647949,2.305369616,
2461.980957,0.3830762208,2461.980957,0.4401485026,2461.980957,0.4870630801,2461.980957,0.4985974133,2461.980957,2.416714907,2461.980957,2.356400728,2461.980957,2.312414885,2461.980957,2.302249908,
2461.313965,0.3826880753,2461.313965,0.4372096658,2461.313965,0.4844769835,2461.313965,0.5068613887,2461.313965,2.417155027,2461.313965,2.35931015,2461.313965,2.31472683,2461.313965,2.295110703,
2460.646973,0.3886532187,2460.646973,0.4372989237,2460.646973,0.486136049,2460.646973,0.5000241399,2460.646973,2.410437822,2460.646973,2.359221697,2460.646973,2.313242197,2460.646973,2.30100894,
2459.97998,0.3930932283,2459.97998,0.4391453266,2459.97998,0.495993942,2459.97998,0.5021784306,2459.97998,2.405504465,2459.97998,2.357391834,2459.97998,2.304523706,2459.97998,2.299141884,
2459.312988,0.3842734993,2459.312988,0.4373632371,2459.312988,0.4870277345,2459.312988,0.5024774671,2459.312988,2.415359497,2459.312988,2.359157801,2459.312988,2.312446356,2459.312988,2.298883438,
2458.645996,0.3909369409,2458.645996,0.4353081882,2458.645996,0.4873712063,2458.645996,0.504802227,2458.645996,2.407893181,2458.645996,2.361203194,2458.645996,2.312140226,2458.645996,2.296878815,
2457.979004,0.3874148726,2457.979004,0.4367728233,2457.979004,0.4912718236,2457.979004,0.496986419,2457.979004,2.41182375,2457.979004,2.35974431,2457.979004,2.30867815,2457.979004,2.303655386,
2457.312012,0.3847197294,2457.312012,0.4355466068,2457.312012,0.4840765595,2457.312012,0.498244971,2457.312012,2.41485548,2457.312012,2.36096549,2457.312012,2.315085888,2457.312012,2.302556992,
2456.64502,0.386888653,2456.64502,0.4425270855,2456.64502,0.4834403396,2456.64502,0.5027279258,2456.64502,2.412414074,2456.64502,2.354060173,2456.64502,2.315657139,2456.64502,2.298666954,
2455.978027,0.3846409321,2455.978027,0.4365324378,2455.978027,0.4889142811,2455.978027,0.4984095097,2455.978027,2.41494441,2455.978027,2.359983444,2455.978027,2.310767174,2455.978027,2.302413702,
2455.311035,0.3823369145,2455.311035,0.4420360923,2455.311035,0.4805090427,2455.311035,0.4992337823,2455.311035,2.417553663,2455.311035,2.354542255,2455.311035,2.31829834,2455.311035,2.301696062,
2454.644043,0.3849090338,2454.644043,0.4386403561,2454.644043,0.4938254952,2454.644043,0.5007455945,2454.644043,2.414641857,2454.644043,2.357891321,2454.644043,2.306426525,2454.644043,2.300382853,
